"lati","longi","x","y","z"
53.4,9.1,0.588720673469385,0.0942977738736079,0.802817475191114
53.9,-112.88333,-0.229112490485399,-0.542825767831654,0.807989883898031
39.77978,64.60035,0.329636430105578,0.694223654103382,0.639838528091735
5,48,0.666584362385609,0.740316935054896,0.0871557427476582
37.62194,-82.23722,0.106984535183143,-0.784797381305011,0.610448506860689
40.2,29.23333,0.666517540212011,0.373013058682644,0.645457687723951
46.45,25.78333,0.620395438771927,0.299688220510303,0.724773392198111
26.78333,82.83333,0.111371869758755,0.885742558887168,0.4506178269914
27.08333,84.08333,0.0917785193034382,0.885602319015375,0.455285883757731
52.996,-109.84817,-0.204352476210047,-0.56611703527433,0.798593493486533
37.98333,-1.16667,0.788026450535618,-0.0160481960577426,0.61543218038995
35.5,-93.5,-0.0497005634083164,-0.812597028806698,0.58070295571094
11.75,122.33333,-0.523636560633583,0.827245301927061,0.203641751140177
-7.03333,-40.16667,0.758421053145112,-0.640159597750821,-0.122446704952672
39.8,26.6,0.686963967715028,0.344005929725792,0.640109699484955
43.38333,-5.15,0.723840637854933,-0.0652378071133117,0.686876087451594
38.47028,-105.24139,-0.205821767824869,-0.755392800963468,0.622108604780557
37.26667,-89.58333,0.00578740426309588,-0.795804816891098,0.605525556326751
36.08333,-78.06667,0.167106227754984,-0.79069599331253,0.588961250682089
39.8,16.2,0.737777816516493,0.214344269999073,0.640109699484955
36.5,-79.25,0.149938626015634,-0.789749492427765,0.594822786751341
26.46667,-105.23333,-0.235212612817621,-0.863740074000241,0.445677138001901
45.08333,8.3,0.698682023688567,0.101926684237558,0.708134436964328
28.53333,109.31667,-0.290611144280727,0.829081797030454,0.477669903440231
25.85,83.48333,0.102136090201633,0.89412400424991,0.436016609892823
-30.78333,-58.05,0.454622356406271,-0.728962624479683,-0.511792931923939
20.26667,76.01667,0.226679818554041,0.910291285106047,0.346390005803124
27.28333,79.05,0.168820220170446,0.872569440715219,0.458390995103015
29.08333,111.75,-0.32383521518945,0.811699377687737,0.486081138972233
46.68333,1.05,0.685914871564337,0.0125714539088775,0.727573190485669
36.16667,-87.33333,0.0375601055361286,-0.806429519424246,0.590136144184793
47.93333,1.56667,0.669744432831033,0.018317755685137,0.742365714805377
29.48333,75.5,0.217955525110887,0.842771483051795,0.492170312420726
47.71667,5.36667,0.669848112469883,0.0629261661626372,0.739826874229781
47.93333,2.91667,0.669126969998595,0.0340916925658035,0.742365714805377
41.93333,-7.46667,0.737614927020334,-0.0966723596741067,0.668265422053115
